RTX,Feature bin,Peak Da,Brx_Semana 1_CODE_I,Chx_Semana 1_CODE_I,Clx_Semana 1_CODE_I,Fax_Semana 1_CODE_I,GU_Semana 1_CODE_I,GUx_Semana 1_CODE_I,Medio Br_Semana 1_CODE_I,Medio Br_Semana 2_CODE_I,Medio Br_Semana 3_CODE_I,Medio Ch_Semana 1_CODE_I,Medio Ch_Semana 2_CODE_I,Medio Ch_Semana 3_CODE_I,Medio Cl_Semana 1_CODE_I,Medio Cl_Semana 2_CODE_I,Medio Cl_Semana 3_CODE_I,Medio Fa_Semana 1_CODE_I,Medio Fa_Semana 2_CODE_I,Medio Fa_Semana 3_CODE_I,Medio Sc_Semana 1_CODE_I,Medio Sc_Semana 2_CODE_I,Medio Sc_Semana 3_CODE_I,Scx_Semana 1_CODE_I,Brx_Semana 1_CODE_S,Chx_Semana 1_CODE_S,Clx_Semana 1_CODE_S,Fax_Semana 1_CODE_S,GU_Semana 1_CODE_S,GUx_Semana 1_CODE_S,Medio Br_Semana 1_CODE_S,Medio Br_Semana 2_CODE_S,Medio Br_Semana 3_CODE_S,Medio Ch_Semana 1_CODE_S,Medio Ch_Semana 2_CODE_S,Medio Ch_Semana 3_CODE_S,Medio Cl_Semana 1_CODE_S,Medio Cl_Semana 2_CODE_S,Medio Cl_Semana 3_CODE_S,Medio Fa_Semana 1_CODE_S,Medio Fa_Semana 2_CODE_S,Medio Fa_Semana 3_CODE_S,Medio Sc_Semana 1_CODE_S,Medio Sc_Semana 2_CODE_S,Medio Sc_Semana 3_CODE_S,Scx_Semana 1_CODE_S
RT027,1319,5957,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
RT027,1567,6701,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT027,1799,7397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0
RT027,2577,9731,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,1.0,0.0
RT078,129,2387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
RT078,507,3521,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
RT078,566,3698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
RT078,567,3701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
RT078,658,3974,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
RT078,1319,5957,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
